TIME_PERIOD,Value,Portfolio name
2007-08-31,100.0,Global Minimum Variance portfolio
2007-09-30,101.3835423648743,Global Minimum Variance portfolio
2007-10-31,103.73315200974919,Global Minimum Variance portfolio
2007-11-30,97.67831808037772,Global Minimum Variance portfolio
2007-12-31,96.33842571630143,Global Minimum Variance portfolio
2008-01-31,86.82600068378969,Global Minimum Variance portfolio
2008-02-29,84.54709379137736,Global Minimum Variance portfolio
2008-03-31,81.02230546648879,Global Minimum Variance portfolio
2008-04-30,86.31359410809658,Global Minimum Variance portfolio
2008-05-31,87.67002290459415,Global Minimum Variance portfolio
2008-06-30,78.97504945716044,Global Minimum Variance portfolio
2008-07-31,78.2178371660136,Global Minimum Variance portfolio
2008-08-31,82.71630755831639,Global Minimum Variance portfolio
2008-09-30,75.43377448236171,Global Minimum Variance portfolio
2008-10-31,70.33651912852825,Global Minimum Variance portfolio
2008-11-30,64.86799869307599,Global Minimum Variance portfolio
2008-12-31,60.67503121452873,Global Minimum Variance portfolio
2009-01-31,60.341247413938824,Global Minimum Variance portfolio
2009-02-28,55.0852141374095,Global Minimum Variance portfolio
2009-03-31,56.364854033943594,Global Minimum Variance portfolio
2009-04-30,61.00689146880556,Global Minimum Variance portfolio
2009-05-31,60.98230323438862,Global Minimum Variance portfolio
2009-06-30,61.446560861372085,Global Minimum Variance portfolio
2009-07-31,66.12141227647305,Global Minimum Variance portfolio
2009-08-31,66.5338397440715,Global Minimum Variance portfolio
2009-09-30,67.16062869065668,Global Minimum Variance portfolio
2009-10-31,65.56690750617614,Global Minimum Variance portfolio
2009-11-30,67.96335341439496,Global Minimum Variance portfolio
2009-12-31,73.03129126782225,Global Minimum Variance portfolio
2010-01-31,70.5457658266298,Global Minimum Variance portfolio
2010-02-28,73.439221242658,Global Minimum Variance portfolio
2010-03-31,81.00823078089009,Global Minimum Variance portfolio
2010-04-30,81.73960916085808,Global Minimum Variance portfolio
2010-05-31,79.04674953141148,Global Minimum Variance portfolio
2010-06-30,77.1760532149462,Global Minimum Variance portfolio
2010-07-31,79.8078268095306,Global Minimum Variance portfolio
2010-08-31,78.90324204667397,Global Minimum Variance portfolio
2010-09-30,81.83924196726586,Global Minimum Variance portfolio
2010-10-31,84.06372867355678,Global Minimum Variance portfolio
2010-11-30,88.07649497884687,Global Minimum Variance portfolio
2010-12-31,92.82195215517199,Global Minimum Variance portfolio
2011-01-31,91.29572611682391,Global Minimum Variance portfolio
2011-02-28,93.44962517199966,Global Minimum Variance portfolio
2011-03-31,91.71915947060432,Global Minimum Variance portfolio
2011-04-30,93.25066316102149,Global Minimum Variance portfolio
2011-05-31,93.87865139553956,Global Minimum Variance portfolio
2011-06-30,92.6046245368553,Global Minimum Variance portfolio
2011-07-31,91.29376778358518,Global Minimum Variance portfolio
2011-08-31,82.15306241791342,Global Minimum Variance portfolio
2011-09-30,79.40978924787677,Global Minimum Variance portfolio
2011-10-31,85.29490445990162,Global Minimum Variance portfolio
2011-11-30,87.4906377186619,Global Minimum Variance portfolio
2011-12-31,90.41267156180747,Global Minimum Variance portfolio
2012-01-31,93.34616087358128,Global Minimum Variance portfolio
2012-02-29,96.28097569242486,Global Minimum Variance portfolio
2012-03-31,99.47259928007624,Global Minimum Variance portfolio
2012-04-30,99.97047140954606,Global Minimum Variance portfolio
2012-05-31,97.74430350995092,Global Minimum Variance portfolio
2012-06-30,100.05001537769274,Global Minimum Variance portfolio
2012-07-31,102.91274130509645,Global Minimum Variance portfolio
2012-08-31,103.51510216636883,Global Minimum Variance portfolio
2012-09-30,104.54745112190504,Global Minimum Variance portfolio
2012-10-31,103.2902875817269,Global Minimum Variance portfolio
2012-11-30,103.80258672799164,Global Minimum Variance portfolio
2012-12-31,104.8635860403066,Global Minimum Variance portfolio
2013-01-31,108.29948845747477,Global Minimum Variance portfolio
2013-02-28,112.372717641969,Global Minimum Variance portfolio
2013-03-31,118.15600552882155,Global Minimum Variance portfolio
2013-04-30,118.17679802554696,Global Minimum Variance portfolio
2013-05-31,121.86402540122765,Global Minimum Variance portfolio
2013-06-30,118.72098005299651,Global Minimum Variance portfolio
2013-07-31,123.76491614414805,Global Minimum Variance portfolio
2013-08-31,122.28422192732452,Global Minimum Variance portfolio
2013-09-30,125.62722409254678,Global Minimum Variance portfolio
2013-10-31,129.7025297992613,Global Minimum Variance portfolio
2013-11-30,133.62650837634718,Global Minimum Variance portfolio
2013-12-31,135.45383087654386,Global Minimum Variance portfolio
2014-01-31,134.93987516190796,Global Minimum Variance portfolio
2014-02-28,139.14947868580967,Global Minimum Variance portfolio
2014-03-31,139.93831858918173,Global Minimum Variance portfolio
2014-04-30,139.33305359903878,Global Minimum Variance portfolio
2014-05-31,144.09586379057112,Global Minimum Variance portfolio
2014-06-30,146.42495638478698,Global Minimum Variance portfolio
2014-07-31,145.63882380231215,Global Minimum Variance portfolio
2014-08-31,152.29307631665662,Global Minimum Variance portfolio
2014-09-30,154.46445759343163,Global Minimum Variance portfolio
2014-10-31,155.16735957577737,Global Minimum Variance portfolio
2014-11-30,158.72456429524067,Global Minimum Variance portfolio
2014-12-31,161.85458500366568,Global Minimum Variance portfolio
2015-01-31,169.13403573994464,Global Minimum Variance portfolio
2015-02-28,181.4019589651504,Global Minimum Variance portfolio
2015-03-31,186.29329825780673,Global Minimum Variance portfolio
2015-04-30,183.68384292366443,Global Minimum Variance portfolio
2015-05-31,189.73157114955438,Global Minimum Variance portfolio
2015-06-30,183.60517910404383,Global Minimum Variance portfolio
2015-07-31,190.25118998612885,Global Minimum Variance portfolio
2015-08-31,177.76934943241955,Global Minimum Variance portfolio
2015-09-30,171.84004513011837,Global Minimum Variance portfolio
2015-10-31,183.9376356762015,Global Minimum Variance portfolio
2015-11-30,189.83426871828317,Global Minimum Variance portfolio
2015-12-31,184.2892202551632,Global Minimum Variance portfolio
2016-01-31,171.0281112010793,Global Minimum Variance portfolio
2016-02-29,170.89625404017468,Global Minimum Variance portfolio
2016-03-31,177.2050719122594,Global Minimum Variance portfolio
2016-04-30,180.48448343453958,Global Minimum Variance portfolio
2016-05-31,186.03949030900986,Global Minimum Variance portfolio
2016-06-30,177.71810407064976,Global Minimum Variance portfolio
2016-07-31,186.29221673746824,Global Minimum Variance portfolio
2016-08-31,188.67895317996633,Global Minimum Variance portfolio
2016-09-30,190.141505863346,Global Minimum Variance portfolio
2016-10-31,188.60736172745948,Global Minimum Variance portfolio
2016-11-30,196.64579876937958,Global Minimum Variance portfolio
2016-12-31,204.57116607264942,Global Minimum Variance portfolio
2017-01-31,207.4194807199227,Global Minimum Variance portfolio
2017-02-28,214.4026334975542,Global Minimum Variance portfolio
2017-03-31,216.142153671376,Global Minimum Variance portfolio
2017-04-30,219.98311608856753,Global Minimum Variance portfolio
2017-05-31,223.1911112200644,Global Minimum Variance portfolio
2017-06-30,220.7844614995289,Global Minimum Variance portfolio
2017-07-31,223.33779810550675,Global Minimum Variance portfolio
2017-08-31,222.76803960825202,Global Minimum Variance portfolio
2017-09-30,228.06467391109015,Global Minimum Variance portfolio
2017-10-31,235.52379754359137,Global Minimum Variance portfolio
2017-11-30,234.24159817552265,Global Minimum Variance portfolio
2017-12-31,235.73537516882263,Global Minimum Variance portfolio
