Strategy ID,b,m,L_target,L_trigger,TIME_PERIOD,Value
CPPI for TDF 2017-08-31,1.0,1.0,1.25,,2017-08-31,159.94704132728378
CPPI for TDF 2017-08-31,1.0,1.05,1.25,,2017-08-31,159.9284824312153
CPPI for TDF 2017-08-31,1.0,1.1,1.25,,2017-08-31,159.88409071012782
CPPI for TDF 2017-08-31,1.0,1.1500000000000001,1.25,,2017-08-31,159.81380483004315
CPPI for TDF 2017-08-31,1.0,1.2000000000000002,1.25,,2017-08-31,159.71761561590972
CPPI for TDF 2017-08-31,1.0,1.2500000000000002,1.25,,2017-08-31,159.59556659709526
CPPI for TDF 2017-08-31,1.0,1.3000000000000003,1.25,,2017-08-31,159.44775439226365
CPPI for TDF 2017-08-31,1.0,1.3500000000000003,1.25,,2017-08-31,159.27432892979164
CPPI for TDF 2017-08-31,1.0,1.4000000000000004,1.25,,2017-08-31,159.07549350050706
CPPI for TDF 2017-08-31,1.0,1.4500000000000004,1.25,,2017-08-31,158.85150464017505
CPPI for TDF 2017-08-31,1.0,1.5000000000000004,1.25,,2017-08-31,158.60267183983132
CPPI for TDF 2017-08-31,1.0,1.5500000000000005,1.25,,2017-08-31,158.32935708274152
CPPI for TDF 2017-08-31,1.0,1.6000000000000005,1.25,,2017-08-31,158.0319742074954
CPPI for TDF 2017-08-31,1.0,1.6500000000000006,1.25,,2017-08-31,157.71098809745234
CPPI for TDF 2017-08-31,1.0,1.7000000000000006,1.25,,2017-08-31,157.3669136974998
CPPI for TDF 2017-08-31,1.0,1.7500000000000007,1.25,,2017-08-31,157.00031485983845
CPPI for TDF 2017-08-31,1.0,1.8000000000000007,1.25,,2017-08-31,156.61180302124973
CPPI for TDF 2017-08-31,1.0,1.8500000000000008,1.25,,2017-08-31,156.20203571505152
CPPI for TDF 2017-08-31,1.0,1.9000000000000008,1.25,,2017-08-31,155.77171492172113
CPPI for TDF 2017-08-31,1.0,1.9500000000000008,1.25,,2017-08-31,155.32158526287165
CPPI for TDF 2017-08-31,1.0,2.000000000000001,1.25,,2017-08-31,154.8524320440373
CPPI for TDF 2017-08-31,1.0,2.0500000000000007,1.25,,2017-08-31,154.36507915241035
CPPI for TDF 2017-08-31,1.0,2.100000000000001,1.25,,2017-08-31,153.8603868164066
CPPI for TDF 2017-08-31,1.0,2.1500000000000012,1.25,,2017-08-31,153.33924923457596
CPPI for TDF 2017-08-31,1.0,2.200000000000001,1.25,,2017-08-31,152.80259208206058
CPPI for TDF 2017-08-31,1.0,2.250000000000001,1.25,,2017-08-31,152.2513699034085
CPPI for TDF 2017-08-31,1.0,2.300000000000001,1.25,,2017-08-31,151.6865634011377
CPPI for TDF 2017-08-31,1.0,2.3500000000000014,1.25,,2017-08-31,151.1091766299996
CPPI for TDF 2017-08-31,1.0,2.4000000000000012,1.25,,2017-08-31,150.5202341074101
CPPI for TDF 2017-08-31,1.0,2.450000000000001,1.25,,2017-08-31,149.92077785096185
CPPI for TDF 2017-08-31,1.0,2.5000000000000013,1.25,,2017-08-31,149.31186435436234
CPPI for TDF 2017-08-31,1.0,2.5500000000000016,1.25,,2017-08-31,148.6945615135129
CPPI for TDF 2017-08-31,1.0,2.6000000000000014,1.25,,2017-08-31,148.0699455147525
CPPI for TDF 2017-08-31,1.0,2.6500000000000012,1.25,,2017-08-31,147.43909769753964
CPPI for TDF 2017-08-31,1.0,2.7000000000000015,1.25,,2017-08-31,146.80310140406903
CPPI for TDF 2017-08-31,1.0,2.7500000000000018,1.25,,2017-08-31,146.16303882844255
CPPI for TDF 2017-08-31,1.0,2.8000000000000016,1.25,,2017-08-31,145.51998787810047
CPPI for TDF 2017-08-31,1.0,2.8500000000000014,1.25,,2017-08-31,144.87501906023522
CPPI for TDF 2017-08-31,1.0,2.9000000000000017,1.25,,2017-08-31,144.22919240587208
CPPI for TDF 2017-08-31,1.0,2.950000000000002,1.25,,2017-08-31,143.5835544441706
CPPI for TDF 2017-08-31,1.0,3.0000000000000018,1.25,,2017-08-31,142.9391352393593
CPPI for TDF 2017-08-31,1.0,3.0500000000000016,1.25,,2017-08-31,142.2969455024349
CPPI for TDF 2017-08-31,1.0,3.100000000000002,1.25,,2017-08-31,141.6579737895094
CPPI for TDF 2017-08-31,1.0,3.150000000000002,1.25,,2017-08-31,141.0231837982625
CPPI for TDF 2017-08-31,1.0,3.200000000000002,1.25,,2017-08-31,140.39351177358145
CPPI for TDF 2017-08-31,1.0,3.2500000000000018,1.25,,2017-08-31,139.7698640329658
CPPI for TDF 2017-08-31,1.0,3.300000000000002,1.25,,2017-08-31,139.15311462172656
CPPI for TDF 2017-08-31,1.0,3.3500000000000023,1.25,,2017-08-31,138.54410310741235
CPPI for TDF 2017-08-31,1.0,3.400000000000002,1.25,,2017-08-31,137.94363252226196
CPPI for TDF 2017-08-31,1.0,3.450000000000002,1.25,,2017-08-31,137.35246746175403
CPPI for TDF 2017-08-31,1.0,3.500000000000002,1.25,,2017-08-31,136.7713323466022
CPPI for TDF 2017-08-31,1.0,3.5500000000000025,1.25,,2017-08-31,136.20090985475272
CPPI for TDF 2017-08-31,1.0,3.6000000000000023,1.25,,2017-08-31,135.64183952910003
CPPI for TDF 2017-08-31,1.0,3.650000000000002,1.25,,2017-08-31,135.09471656579504
CPPI for TDF 2017-08-31,1.0,3.7000000000000024,1.25,,2017-08-31,134.56009078713438
CPPI for TDF 2017-08-31,1.0,3.7500000000000027,1.25,,2017-08-31,134.03846580207932
CPPI for TDF 2017-08-31,1.0,3.8000000000000025,1.25,,2017-08-31,133.53029835656724
CPPI for TDF 2017-08-31,1.0,3.8500000000000023,1.25,,2017-08-31,133.0359978747846
CPPI for TDF 2017-08-31,1.0,3.9000000000000026,1.25,,2017-08-31,132.55592619166146
CPPI for TDF 2017-08-31,1.0,3.950000000000003,1.25,,2017-08-31,132.0903974758695
CPPI for TDF 2017-08-31,1.0,4.000000000000003,1.25,,2017-08-31,131.63967834164876
CPPI for TDF 2017-08-31,1.0,4.0500000000000025,1.25,,2017-08-31,131.20398814686112
CPPI for TDF 2017-08-31,1.0,4.100000000000003,1.25,,2017-08-31,130.78349947373317
CPPI for TDF 2017-08-31,1.0,4.150000000000003,1.25,,2017-08-31,130.3783387878277
CPPI for TDF 2017-08-31,1.0,4.200000000000003,1.25,,2017-08-31,129.98858726992512
CPPI for TDF 2017-08-31,1.0,4.250000000000003,1.25,,2017-08-31,129.61428181461488
CPPI for TDF 2017-08-31,1.0,4.3000000000000025,1.25,,2017-08-31,129.25541618859532
CPPI for TDF 2017-08-31,1.0,4.350000000000003,1.25,,2017-08-31,128.91194234090312
CPPI for TDF 2017-08-31,1.0,4.400000000000003,1.25,,2017-08-31,128.58377185655434
CPPI for TDF 2017-08-31,1.0,4.450000000000003,1.25,,2017-08-31,128.27077754440631
CPPI for TDF 2017-08-31,1.0,4.5000000000000036,1.25,,2017-08-31,127.97279514942511
CPPI for TDF 2017-08-31,1.0,4.550000000000003,1.25,,2017-08-31,127.6896251789678
